,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,式入ってます,,,,,3回,式入ってます,,式入ってます,,,,,,,,
施術カテゴリ,施術名,製剤,単位数,現価格,"新
価格",初回,"初回
（割引率）",モニター,リピーター,リピータ割引率,プリ30万,回数券,"回数券
（割引率）",キャンペーン,"キャンペーン
（割引率）",備考コスト,定価利益,プリ利益,5％オフ,10％,15％,20％,30％
注入系,水光注射（ハイコックス）,スキンボトックスニューロ,10単位,"27,500","27,500",,,,,,"22,000",,,,,"3,500","24,000","18,500","26,125","24,750","23,375","22,000","19,250"
注入系,水光注射（ハイコックス）,スキンボトックスニューロ,オプション,"13,750","13,750",,,,,,"11,000",,,,,,,,"13,063","12,375","11,688","11,000","9,625"
注入系,水光注射（ハイコックス）,リジュラン,1cc,"33,000","33,000",,,,,,"26,400","89,100",10％,,,"10,000","19,700","16,400","31,350","29,700","28,050","26,400","23,100"
,水光注射（ハイコックス）,リジュラン,追加1㏄,,"16,500",,,,,,"13,200",,,,,,,,,,,,"11,550"
注入系,水光注射（ハイコックス）,リジュラン,2㏄,"66,000","49,500",,,,,,"39,600","133,650",10％,,,18000,"31,500","21,600","47,025","44,550","42,075","39,600","34,650"
注入系,水光注射（ハイコックス）,リジュラン,3㏄,"99,000","66,000",,,,,,"52,800","178,200",10％,,,"26,000","40,000","26,800","62,700","59,400","56,100","52,800","46,200"
,水光注射（ハイコックス）,ジュベルック,1㏄,,"33,000",,,,,,"26,400",,,,,"7,000","26,000","19,400",,,,,"23,100"
注入系,水光注射（ハイコックス）,ジュベルック,追加1㏄,,"11,000",,,,,,"8,800",,,,,,,,"10,450","9,900","9,350","8,800","7,700"
,水光注射（ハイコックス）,ジュベルック,2㏄,,"44,000",,,,,,"35,200","118,800",10％,,,"12,000","32,000","23,200",,,,,"30,800"
注入系,水光注射（ハイコックス）,ジュベルック,3㏄,,"55,000",,,,,,"44,000","148,500",10％,,,"17,000","38,000","27,000","52,250","49,500","46,750","44,000","38,500"
注入系,水光注射（ハイコックス）,ジュベルック,6㏄,,"88,000",,,,,,"70,400","237,600",10％,,,"¥32,000","56,000","38,400","83,600","79,200","74,800","70,400","61,600"
注入系,水光注射（ハイコックス）,プルリアルデンシファイシングル,1本2cc,"77,000","66,000",,,,,,"52,800","178,200",10％,,30000,"¥27,000","39,000","25,800","62,700","59,400","56,100","52,800","46,200"
注入系,水光注射（ハイコックス）,プルリアルデンシファイダブル,2本4㏄,"154,000","132,000",,,,,,"105,600","356,400",10％,,,"52,000","80,000","53,600","125,400","118,800","112,200","105,600","92,400"
注入系,水光注射（ハイコックス）,スネコスパフォルマ,1本3.5㏄,,"55,000",,,,,,"44,000",,,,,17000,"38,000","27,000","52,250","49,500","46,750","44,000","38,500"
注入系,Dr.手打ち注射,リジュラン,1cc,,"44,000",,,,,,"39,600","118,800",10％,,,"8,000","36,000","31,600","41,800","39,600","37,400","35,200","30,800"
注入系,Dr.手打ち注射,リジュラン,追加1㏄,,"22,000",,,,,,"19,800",,,,,16000,,,"20,900","19,800","18,700","17,600","15,400"
注入系,Dr.手打ち注射,リジュラン,2㏄,,"66,000",,,,,,"59,400","178,200",10％,,,16000,"50,000","43,400",,,,,"46,200"
注入系,Dr.手打ち注射,リジュラン,3㏄,,"88,000",,,,,,"79,200","237,600",10％,,,24000,"64,000","55,200","83,600","79,200","74,800","70,400","61,600"
注入系,Dr.手打ち注射,ジュベルック,1cc,,"33,000",,,,,,"29,700","89,100",10％,,,"5,000","28,000","24,700","31,350","29,700","28,050","26,400","23,100"
注入系,Dr.手打ち注射,ジュベルック,追加1㏄,,"16,500",,,,,,"14,850",,,,,,,,"15,675","14,850","14,025","13,200","11,550"
,,,2㏄,,"49,500",,,,,,"44,550","133,650",10％,,,10000,"39,500","34,550",,,,,"34,650"
注入系,Dr.手打ち注射,ジュベルック,3cc,,"66,000",,,,,,"59,400","178,200",10％,,,"15,000","51,000","44,400","62,700","59,400","56,100","52,800","46,200"
注入系,Dr.手打ち注射,スネコスパフォルマ,1本（3.5cc）,,"55,000",,,,,,"49,500","148,500",10％,,,"15,000","40,000","34,500","52,250","49,500","46,750","44,000","38,500"
注入系,Dr.手打ち注射,プルリアルデンシファイ,1本2cc,"77,000","66,000",,,,,,"59,400","178,200",10％,,,"¥25,000","41,000","34,400","62,700","59,400","56,100","52,800","46,200"
注入系,Dr.手打ち注射,プルリアルデンシファイ,2本4㏄,,"132,000",,,,,,"118,800","356,400",10％,,,"¥60,244","71,756","58,556","125,400","118,800","112,200","105,600","92,400"
注入系,,CGスタイラー,1本1ml,,"77,000",,,,,,"69,300",,,,,"¥22,500","54,500","46,800","73,150","69,300","65,450","61,600","53,900"
注入系,Dr.手打ち注射,ジャルプロHMW,1本2.5cc,"66,000","66,000",,,,,,"59,400","148,500",10％,,,"¥13,700","41,300","35,800","62,700","59,400","56,100","52,800","46,200"
注入系,Dr.手打ち注射,ジャルプロスーパーハイドロ,1本,"77,000","66,000",,,,,,"59,400","178,200",10％,,,"¥17,000","49,000","42,400","62,700","59,400","56,100","52,800","46,200"
注入系,Dr.手打ち注射,スキンバイブ【アラガン社】,1本,,"66,000",,,,,,"59,400",,,,,"15,000","51,000","44,400","62,700","59,400","56,100","52,800","46,200"
注入系,,,,,,,#DIV/0!,,,,0,,#DIV/0!,,#DIV/0!,"30,000","71,000","60,900",0,0,0,0,0
注入系,ヒアルロン酸,ボリフト【アラガン社】,1本,,"77,000",,,"65,450",,,"69,300",,,,,"21,000","56,000","48,300","73,150","69,300","65,450","61,600","53,900"
注入系,ヒアルロン酸,ボリューマ【アラガン社】,1本,,"77,000",,,"65,450",,,"69,300",,,,,"18,000","59,000","51,300","73,150","69,300","65,450","61,600","53,900"
,ヒアルロン酸,ボルベラ【アラガン社】,1本,,"77,000",,,"65,450",,,"69,300",,,,,"18,000","59,000","51,300","73,150",,,,"53,900"
注入系,ヒアルロン酸,ボラックス【アラガン社】,1本,,"77,000",,,"65,450",,,"69,300",,,,,"19,500","57,500","49,800","73,150","69,300","65,450","61,600","53,900"
注入系,ヒアルロン酸,レスチレン,1本,,"77,000",,,"65,450",,,"69,300",,,,,"19,000","58,000","50,300","73,150","69,300","65,450","61,600","53,900"
注入系,ヒアルローニターゼ,当院部分修正,1cc,,"22,000",,,,,,"19,800",,,,,,,,"20,900","19,800","18,700","17,600","15,400"
注入系,ヒアルローニターゼ,当院修正,1本,,"38,500",,,,,,"34,650",,,,,,,,"36,575","34,650","32,725","30,800","26,950"
注入系,ヒアルローニターゼ,他院修正,1本,,"55,000",,,,,,"49,500",,,,,,,,"52,250","49,500","46,750","44,000","38,500"
注入系,ヒアルローニターゼ,,,,,,,,,,0,,,,,,,,0,0,0,0,0
注入系,ボトックス,ニューロノックス,1部位（眉間・額・目尻・バニーライン‣口角‣ガミーライン‣顎）,,"22,000","16,500",,,"14,300",,"14,300",,,,,"1,500","12,800","12,800","20,900","19,800","18,700","17,600","15,400"
注入系,ボトックス,ニューロノックス,2部位,,"44,000","30,800",,,"26,400",,"26,400",,,,,"3,000","27,800","23,400","41,800","39,600","37,400","35,200","30,800"
注入系,ボトックス,ニューロノックス,3部位以上1部位当たり,,"66,000","46,200",,,"39,600",,"39,600",,,,,"4,500","35,100","35,100","62,700","59,400","56,100","52,800","46,200"
,,リタッチ,1部位,,"3,300",,,,,,"2,970",,,,,,,,,,,,"2,310"
注入系,ボトックス,ニューロノックスまとめ買い,オーダーメイド全顔,,"44,000",,,,,,"39,600",,,,,"7,500","36,500","32,100","41,800","39,600","37,400","35,200","30,800"
注入系,ボトックス,ニューロノックスまとめ買い,100単位,,"770,000",,,,,,"77,000",,,"77,000",,"15,000","62,000","62,000","731,500","693,000","654,500","616,000","539,000"
注入系,ボトックス,ニューロノックスボトックスリフト,1回,,"33,000",,,,,,"29,700",,,,,,,,"31,350","29,700","28,050","26,400","23,100"
注入系,ボトックス,ボトックスビスタ,1部位（眉間・額・目尻・バニーライン‣口角‣ガミーライン‣顎）,,"27,500","22,000",,,"20,625",,"20,625",,,,,"2,640","19,360","17,985","26,125","24,750","23,375","22,000","19,250"
注入系,ボトックス,ボトックスビスタ,2部位,,"55,000","41,250",,,"38,500",,"38,500",,,,,"5,808","35,442","32,692","52,250","49,500","46,750","44,000","38,500"
注入系,ボトックス,ボトックスビスタ,3部位以上1部位当たり,,"82,500","61,875",,,"57,750",,"57,750",,,,,"7,920","47,355","49,830","78,375","74,250","70,125","66,000","57,750"
注入系,ボトックス,ビスタまとめ買い,50単位,,"66,000",,,,,,"66,000",,,"66,000",,"14,520","51,480",,"62,700","59,400","56,100","52,800","46,200"
注入系,ボトックス,ビスタまとめ買い,100単位,,"99,000",,,,,,"99,000",,,"99,000",,"29,040","69,960",,,,,,"69,300"
注入系,ボトックス,ビスタボトックスリフト,1回,,"55,000",,,,,,"49,500",,,,,,,,,,,,"38,500"
注入系,脂肪溶解注射,FATXCORE,1cc,,"13,200",,,,,,"11,880",,,,,1500,"9,060","10,380","12,540","11,880","11,220","10,560","9,240"
,,,,,,,,,,,,,,,,,,,0,0,,,