,,,ホームページ記載なし,,,,,,,,,,,,,,,,
,,,,,,,3回,式入ってます,,式入ってます,,,,ドクター,10万・ドクター,,30万,50万,紹介
施術カテゴリ,施術名,製剤,単位数,現価格,"新
価格",モニター,リピーター,リピータ割引率,プリ30万,回数券,"回数券
（割引率）",キャンペーン,"キャンペーン
（割引率）",5％オフ,10％,15％,20％,25％,30％
注入系,水光注射（ハイコックス）,スキンボトックスニューロ,10単位,"27,500","27,500",,,,"22,000",,,,,"26,125","24,750","23,375","22,000",20625,19250
注入系,水光注射（ハイコックス）,スキンボトックスニューロ,オプション,"13,750","13,750",,,,"11,000",,,,,"13,063","12,375","11,688","11,000",10312.5,9625
注入系,水光注射（ハイコックス）,リジュラン,1cc,"33,000","33,000",,,,"26,400","89,100",10％,,,"31,350","29,700","28,050","26,400",24750,23100
,水光注射（ハイコックス）,リジュラン,追加1㏄,,"16,500",,,,"13,200",,,,,"15,675","14,850","14,025","13,200",12375,11550
注入系,水光注射（ハイコックス）,リジュラン,2㏄,"66,000","49,500",,,,"39,600","133,650",10％,,,"47,025","44,550","42,075","39,600",37125,34650
注入系,水光注射（ハイコックス）,リジュラン,3㏄,"99,000","66,000",,,,"52,800","178,200",10％,,,"62,700","59,400","56,100","52,800",49500,46200
,水光注射（ハイコックス）,ジュベルック,1㏄,,"33,000",,,,"26,400",,,,,"31,350","29,700","28,050","26,400",24750,23100
注入系,水光注射（ハイコックス）,ジュベルック,追加1㏄,,"11,000",,,,"8,800",,,,,"10,450","9,900","9,350","8,800",8250,7700
,水光注射（ハイコックス）,ジュベルック,2㏄,"44,000","44,000",,,,"35,200","118,800",10％,,,"41,800","39,600","37,400","35,200",33000,30800
注入系,水光注射（ハイコックス）,ジュベルック,3㏄,"55,000","55,000",,,,"44,000","148,500",10％,,,"52,250","49,500","46,750","44,000",41250,38500
注入系,水光注射（ハイコックス）,ジュベルック,6㏄,"110,000","88,000",,,,"70,400","237,600",10％,,,"83,600","79,200","74,800","70,400",66000,61600
注入系,水光注射（ハイコックス）,プルリアルデンシファイシングル,1本2cc,"77,000","66,000",,,,"52,800","178,200",10％,,,"62,700","59,400","56,100","52,800",49500,46200
注入系,水光注射（ハイコックス）,プルリアルデンシファイダブル,2本4㏄,"154,000","132,000",,,,"105,600","356,400",10％,,,"125,400","118,800","112,200","105,600",99000,92400
注入系,水光注射（ハイコックス）,スネコスパフォルマ,1本3.5㏄,"55,000","55,000",,,,"44,000",,,,,"52,250","49,500","46,750","44,000",41250,38500
注入系,Dr.手打ち注射,リジュラン,1cc,"44,000","44,000",,,,"39,600","118,800",10％,,,"41,800","39,600","37,400","35,200",33000,30800
注入系,Dr.手打ち注射,リジュラン,追加1㏄,,"22,000",,,,"19,800",,,,,"20,900","19,800","18,700","17,600",16500,15400
注入系,Dr.手打ち注射,リジュラン,2㏄,"77,000","66,000",,,,"59,400","178,200",10％,,,"62,700","59,400","56,100","52,800",49500,46200
注入系,Dr.手打ち注射,リジュラン,3㏄,"110,000","88,000",,,,"79,200","237,600",10％,,,"83,600","79,200","74,800","70,400",66000,61600
注入系,Dr.手打ち注射,ジュベルック,1cc,"33,000","33,000",,,,"29,700","89,100",10％,,,"31,350","29,700","28,050","26,400",24750,23100
注入系,Dr.手打ち注射,ジュベルック,追加1㏄,,"16,500",,,,"14,850",,,,,"15,675","14,850","14,025","13,200",12375,11550
注入系,Dr.手打ち注射,ジュベルック,2㏄,"55,000","49,500",,,,"44,550","133,650",10％,,,"47,025","44,550","42,075","39,600",37125,34650
注入系,Dr.手打ち注射,ジュベルック,3cc,"66,000","66,000",,,,"59,400","178,200",10％,,,"62,700","59,400","56,100","52,800",49500,46200
注入系,Dr.手打ち注射,スネコスパフォルマ,1本（3.5cc）,"55,000","55,000",,,,"49,500","148,500",10％,,,"52,250","49,500","46,750","44,000",41250,38500
注入系,Dr.手打ち注射,プルリアルデンシファイ,1本2cc,"88,000","77,000",,,,"69,300","178,200",10％,,,"73,150","69,300","65,450","61,600",57750,53900
注入系,Dr.手打ち注射,プルリアルデンシファイ,2本4㏄,"176,000","156,000",,,,"140,400","356,400",10％,,,"148,200","140,400","132,600","124,800",117000,109200
注入系,ヒアルロン酸,CGスタイラー,1本1ml,"88,000","77,000",,,,"73,150",,,,,"73,150","69,300","65,450","61,600",57750,53900
注入系,Dr.手打ち注射,ジャルプロHMW,1本2.5cc,"66,000","55,000",,,,"49,500","148,500",10％,,,"52,250","49,500","46,750","44,000",41250,38500
注入系,Dr.手打ち注射,ジャルプロスーパーハイドロ,1本,"77,000","69,800",,,,"62,820","178,200",10％,,,"66,310","62,820","59,330","55,840",52350,48860
注入系,Dr.手打ち注射,スキンバイブ【アラガン社】,1本,"77,000","66,000",,,,"59,400",,,,,"62,700","59,400","56,100","52,800",49500,46200
注入系,ヒアルロン酸,ボリフト【アラガン社】,1本,"77,000","77,000","65,450",,,"69,300",,,,,"73,150","69,300","65,450","61,600",57750,53900
注入系,ヒアルロン酸,ボリューマ【アラガン社】,1本,"77,000","77,000","65,450",,,"69,300",,,,,"73,150","69,300","65,450","61,600",57750,53900
,ヒアルロン酸,ボルベラ【アラガン社】,1本,"77,000","77,000","65,450",,,"69,300",,,,,"73,150","69,300","65,450","61,600",57750,53900
注入系,ヒアルロン酸,ボラックス【アラガン社】,1本,"77,000","77,000","65,450",,,"69,300",,,,,"73,150","69,300","65,450","61,600",57750,53900
注入系,ヒアルロン酸,レスチレン,1本,"77,000","77,000","65,450",,,"69,300",,,,,"73,150","69,300","65,450","61,600",57750,53900
注入系,ヒアルローニターゼ,当院部分修正,1cc,,"22,000",,,,"19,800",,,,,,,,,,
注入系,ヒアルローニターゼ,当院修正,1本,,"38,500",,,,"34,650",,,,,,,,,,
注入系,ヒアルローニターゼ,他院修正,1本,,"55,000",,,,"49,500",,,,,,,,,,
注入系,ヒアルローニターゼ,当院修正,1v,,"66,000",,,,"59,400",,,,,,,,,,
注入系,ヒアルローニターゼ,他院修正,1v,,"77,000",,,,,,,,,,,,,,
注入系,ボトックス,ニューロノックス,1部位（眉間・額・目尻・バニーライン‣口角‣ガミーライン‣顎）,,"14,300",,"14,300",,"14,300",,,,,,,,,,
注入系,ボトックス,ニューロノックス,2部位,,"26,400",,"26,400",,"26,400",,,,,,,,,,
注入系,ボトックス,ニューロノックス,3部位以上1部位当たり,,"39,600",,"39,600",,"39,600",,,,,,,,,,
,,リタッチ,1部位,,"3,300",,,,"3,300",,,,,,,,,,
注入系,ボトックス,ニューロノックスまとめ買い,オーダーメイド全顔,,"44,000",,,,"44,000",,,,,,,,,,
注入系,ボトックス,ニューロノックスまとめ買い,100単位,,"77,000",,,,"77,000",,,"77,000",,,,,,,
注入系,ボトックス,ニューロノックスボトックスリフト,1回,,"33,000",,,,"33,000",,,,,,,,,,
注入系,ボトックス,アラガン,1部位（眉間・額・目尻・バニーライン‣口角‣ガミーライン‣顎）,,"27,500",,"20,625",,"27,500",,,,,,,,,,
注入系,ボトックス,アラガン,2部位,,"55,000",,"38,500",,"55,000",,,,,,,,,,
注入系,ボトックス,アラガン,3部位以上1部位当たり,,"82,500",,"57,750",,"82,500",,,,,,,,,,
注入系,ボトックス,アラガンまとめ買い,50単位,,"66,000",,,,"66,000",,,"66,000",,,,,,,
注入系,ボトックス,アラガンまとめ買い,100単位,,"99,000",,,,"99,000",,,"99,000",,,,,,,69300
注入系,ボトックス,アラガンボトックスリフト,1回,,"55,000",,,,"55,000",,,,,,,,,,38500
注入系,脂肪溶解注射,FATXCORE,1cc,,"13,200",,,,"11,880",,,,,,"11,880",,,,
,,,,,,,,,,,,,,0,,,,,